,start,end,ideal_start,ideal_end,livetime,livetime_fraction,ideal_livetime,ideal_livetime_fraction,delivered_spills,collected_spills,ideal_collected_spills,delivered_pot,collected_pot,ideal_collected_pot
0,2026-01-22 00:00:00+00:00,2026-01-22 04:00:00+00:00,2026-01-22 00:00:00+00:00,2026-01-22 04:00:00+00:00,14400.0,1.0,14400.0,1.0,71982,71982,71982,349289.4738828491,349289.4738828491,349289.4738828491
1,2026-01-22 04:00:00+00:00,2026-01-22 08:00:00+00:00,2026-01-22 04:00:00+00:00,2026-01-22 08:00:00+00:00,13381.0,0.9292361111111112,13500.0,0.9375,71951,66858,67453,333577.8138382699,315912.4169213719,318847.2032004968
2,2026-01-22 08:00:00+00:00,2026-01-22 12:00:00+00:00,2026-01-22 08:00:00+00:00,2026-01-22 12:00:00+00:00,14400.0,1.0,14400.0,1.0,71987,71987,71987,338153.9158118525,338153.9158118525,338153.9158118525
3,2026-01-22 12:00:00+00:00,2026-01-22 16:00:00+00:00,2026-01-22 12:00:00+00:00,2026-01-22 16:00:00+00:00,14400.0,1.0,14400.0,1.0,72009,72009,72009,351823.27472781925,351823.27472781925,351823.27472781925
4,2026-01-22 16:00:00+00:00,2026-01-22 20:00:00+00:00,2026-01-22 16:00:00+00:00,2026-01-22 20:00:00+00:00,13434.0,0.9329166666666666,13500.0,0.9375,24393,23428,23494,91368.08524809915,88895.86734941327,89007.66152722052
5,2026-01-22 20:00:00+00:00,2026-01-23 00:00:00+00:00,2026-01-22 20:00:00+00:00,2026-01-23 00:00:00+00:00,13030.0,0.9048611111111111,13500.0,0.9375,54194,49167,51509,240494.56956612045,222554.14192270918,234205.08107351762
6,2026-01-23 00:00:00+00:00,2026-01-23 04:00:00+00:00,2026-01-23 00:00:00+00:00,2026-01-23 04:00:00+00:00,14400.0,1.0,14400.0,1.0,71967,71967,71967,344297.43045936927,344297.43045936927,344297.43045936927
7,2026-01-23 04:00:00+00:00,2026-01-23 08:00:00+00:00,2026-01-23 04:00:00+00:00,2026-01-23 08:00:00+00:00,14400.0,1.0,14400.0,1.0,71922,71922,71922,317547.0614064173,317547.0614064173,317547.0614064173
8,2026-01-23 08:00:00+00:00,2026-01-23 12:00:00+00:00,2026-01-23 08:00:00+00:00,2026-01-23 12:00:00+00:00,14400.0,1.0,14400.0,1.0,71999,71999,71999,352971.49505080824,352971.49505080824,352971.49505080824
9,2026-01-23 12:00:00+00:00,2026-01-23 16:00:00+00:00,2026-01-23 12:00:00+00:00,2026-01-23 16:00:00+00:00,13795.0,0.9579861111111111,13795.0,0.9579861111111111,72007,68987,68987,340488.4874963516,325912.5871656234,325912.5871656234
10,2026-01-23 16:00:00+00:00,2026-01-23 20:00:00+00:00,2026-01-23 16:00:00+00:00,2026-01-23 20:00:00+00:00,14400.0,1.0,14400.0,1.0,71938,71938,71938,324093.6840465919,324093.6840465919,324093.6840465919
11,2026-01-23 20:00:00+00:00,2026-01-24 00:00:00+00:00,2026-01-23 20:00:00+00:00,2026-01-24 00:00:00+00:00,12858.0,0.8929166666666667,12867.0,0.8935416666666667,71946,64241,64286,350884.5937771697,315702.5764939763,315923.8991256543
12,2026-01-24 00:00:00+00:00,2026-01-24 04:00:00+00:00,2026-01-24 00:00:00+00:00,2026-01-24 04:00:00+00:00,11256.0,0.7816666666666666,14400.0,1.0,71979,56264,71979,354725.0600783605,279278.2389046098,354725.0600783605
13,2026-01-24 04:00:00+00:00,2026-01-24 08:00:00+00:00,2026-01-24 04:00:00+00:00,2026-01-24 08:00:00+00:00,14400.0,1.0,14400.0,1.0,71979,71979,71979,333636.6862957241,333636.6862957241,333636.6862957241
14,2026-01-24 08:00:00+00:00,2026-01-24 12:00:00+00:00,2026-01-24 08:00:00+00:00,2026-01-24 12:00:00+00:00,13370.0,0.9284722222222223,13370.0,0.9284722222222223,71995,66845,66845,357158.0432950851,331436.13016269496,331436.13016269496
15,2026-01-24 12:00:00+00:00,2026-01-24 16:00:00+00:00,2026-01-24 12:00:00+00:00,2026-01-24 16:00:00+00:00,14400.0,1.0,14400.0,1.0,71933,71933,71933,320373.55672022526,320373.55672022526,320373.55672022526
16,2026-01-24 16:00:00+00:00,2026-01-24 20:00:00+00:00,2026-01-24 16:00:00+00:00,2026-01-24 20:00:00+00:00,14400.0,1.0,14400.0,1.0,71916,71916,71916,259000.82393643085,259000.82393643085,259000.82393643085
17,2026-01-24 20:00:00+00:00,2026-01-25 00:00:00+00:00,2026-01-24 20:00:00+00:00,2026-01-25 00:00:00+00:00,14400.0,1.0,14400.0,1.0,71708,71708,71708,263313.0177415221,263313.0177415221,263313.0177415221
18,2026-01-25 00:00:00+00:00,2026-01-25 04:00:00+00:00,2026-01-25 00:00:00+00:00,2026-01-25 04:00:00+00:00,14400.0,1.0,14400.0,1.0,71979,71979,71979,332368.84476873255,332368.84476873255,332368.84476873255
19,2026-01-25 04:00:00+00:00,2026-01-25 08:00:00+00:00,2026-01-25 04:00:00+00:00,2026-01-25 08:00:00+00:00,14400.0,1.0,14400.0,1.0,72002,72002,72002,340620.7731413163,340620.7731413163,340620.7731413163
20,2026-01-25 08:00:00+00:00,2026-01-25 12:00:00+00:00,2026-01-25 08:00:00+00:00,2026-01-25 12:00:00+00:00,14400.0,1.0,14400.0,1.0,72006,72006,72006,342853.8637150468,342853.8637150468,342853.8637150468
21,2026-01-25 12:00:00+00:00,2026-01-25 16:00:00+00:00,2026-01-25 12:00:00+00:00,2026-01-25 16:00:00+00:00,14400.0,1.0,14400.0,1.0,71992,71992,71992,318023.59057992033,318023.59057992033,318023.59057992033
22,2026-01-25 16:00:00+00:00,2026-01-25 20:00:00+00:00,2026-01-25 16:00:00+00:00,2026-01-25 20:00:00+00:00,14400.0,1.0,14400.0,1.0,71985,71985,71985,350953.13635117427,350953.13635117427,350953.13635117427
23,2026-01-25 20:00:00+00:00,2026-01-26 00:00:00+00:00,2026-01-25 20:00:00+00:00,2026-01-26 00:00:00+00:00,13409.0,0.9311805555555556,13500.0,0.9375,71969,67014,67469,335694.90171223856,311358.8371119113,313589.1350667301
