,start,end,livetime,livetime_fraction,delivered_spills,collected_spills,delivered_pot,collected_pot
0,2026-02-13 00:00:00+00:00,2026-02-13 04:00:00+00:00,14400.0,1.0,72004,72004,340995.7462494559,340995.7462494559
1,2026-02-13 04:00:00+00:00,2026-02-13 08:00:00+00:00,13171.0,0.9146527777777778,71942,65797,326625.88896846253,296712.62482082384
2,2026-02-13 08:00:00+00:00,2026-02-13 12:00:00+00:00,14400.0,1.0,71987,71987,347746.1948264872,347746.1948264872
3,2026-02-13 12:00:00+00:00,2026-02-13 16:00:00+00:00,14400.0,1.0,72016,72016,352060.0227789821,352060.0227789821
4,2026-02-13 16:00:00+00:00,2026-02-13 20:00:00+00:00,14400.0,1.0,71999,71999,346473.31522274134,346473.31522274134
5,2026-02-13 20:00:00+00:00,2026-02-14 00:00:00+00:00,14400.0,1.0,71975,71975,341928.9499163303,341928.9499163303
6,2026-02-14 00:00:00+00:00,2026-02-14 04:00:00+00:00,14400.0,1.0,71992,71992,355613.05604986293,355613.05604986293
7,2026-02-14 04:00:00+00:00,2026-02-14 08:00:00+00:00,14400.0,1.0,71998,71998,357114.2681408881,357114.2681408881
8,2026-02-14 08:00:00+00:00,2026-02-14 12:00:00+00:00,14400.0,1.0,71980,71980,348853.71311657253,348853.71311657253
9,2026-02-14 12:00:00+00:00,2026-02-14 16:00:00+00:00,13874.0,0.9634722222222222,70998,68416,228174.76604489383,228172.32750167852
10,2026-02-14 16:00:00+00:00,2026-02-14 20:00:00+00:00,14400.0,1.0,71721,71721,47.66761260331431,47.66761260331431
11,2026-02-14 20:00:00+00:00,2026-02-15 00:00:00+00:00,12745.0,0.8850694444444445,71962,63688,287931.0208916251,248977.76850022894
12,2026-02-15 00:00:00+00:00,2026-02-15 04:00:00+00:00,14400.0,1.0,71993,71993,351478.17028195015,351478.17028195015
13,2026-02-15 04:00:00+00:00,2026-02-15 08:00:00+00:00,14400.0,1.0,71993,71993,346591.99828658026,346591.99828658026
14,2026-02-15 08:00:00+00:00,2026-02-15 12:00:00+00:00,13487.0,0.9365972222222222,71984,67422,342316.343769725,319630.88162548916
15,2026-02-15 12:00:00+00:00,2026-02-15 16:00:00+00:00,14400.0,1.0,71997,71997,347187.042308846,347187.042308846
